path,first_commit_post_baseline,last_commit_in_range,language_type,reverted_only
.env,d5906e07,d5906e07,config,no
docker-compose.yml,e6f0b4fa,e6f0b4fa,config,no
doctors_seed.json,686b4e92,f0d3d352,config,no
doctors_seed.sql,48562962,48562962,sql,no
frontend/.env,da16035c,da16035c,config,no
frontend/package.json,3851509f,3851509f,config,no
frontend/src/API/LoginAPI.js,d6a330b2,650be1d8,js,no
frontend/src/API/LogoutAPI.js,067285a4,aa8d6061,js,no
frontend/src/API/NotificationAPI.js,48f2ca16,5dcf9a04,js,no
frontend/src/API/ScheduleFeedbackAPI.js,42ea7e3d,b610882e,js,no
frontend/src/API/TwoFactorAPI.js,c736f6cc,5dcf9a04,js,no
frontend/src/components/common/CustomAppointmentComponents.js,2bef1125,b2cfe375,js,no
frontend/src/components/common/ShiftPrinterCSV.js,f5cda2a0,246b6335,js,yes
frontend/src/components/common/TurnstileWidget.js,da16035c,da16035c,js,no
frontend/src/components/layout/MainNavbar/NavbarNav/UserActions.js,067285a4,aa8d6061,js,no
frontend/src/data/sidebar-nav-items.js,c736f6cc,498baf6c,js,no
frontend/src/locales/en.json,98f4d524,b2cfe375,config,no
frontend/src/locales/it.json,98f4d524,b2cfe375,config,no
frontend/src/routes.js,c736f6cc,498baf6c,js,no
frontend/src/views/pianificatore/FeedbackManagementView.js,498baf6c,b2cfe375,js,no
frontend/src/views/utente/LoginView.js,d6a330b2,b270d979,js,no
frontend/src/views/utente/LoginView.test.js,03052556,03052556,test,no
frontend/src/views/utente/TwoFactorEnrollmentView.js,c736f6cc,1ff3ea4e,js,no
frontend/src/views/utente/TwoFactorEnrollmentView.test.js,c736f6cc,5df4205a,test,no
insert_100_doctors.sql,686b4e92,686b4e92,sql,yes
pom.xml,28660e09,83d94ae0,config,no
src/main/java/org/cswteams/ms3/config/AppConfig.java,d6a330b2,163d8f70,java,no
src/main/java/org/cswteams/ms3/config/ApplicationStartup.java,56a16915,f0d3d352,java,no
src/main/java/org/cswteams/ms3/config/SchedulerConfig.java,130ba353,130ba353,java,no
src/main/java/org/cswteams/ms3/config/multitenancy/SchemaSwitchingConnectionProviderPostgreSQL.java,2de8a578,8c77b027,java,no
src/main/java/org/cswteams/ms3/config/multitenancy/SchemasInitializer.java,10cf56a8,a8bb72ca,java,no
src/main/java/org/cswteams/ms3/control/login/ILoginController.java,d76e77a5,d76e77a5,java,no
src/main/java/org/cswteams/ms3/control/login/LoginController.java,74762acf,74762acf,java,no
src/main/java/org/cswteams/ms3/control/logout/ExpiredTokensRemovalService.java,130ba353,130ba353,java,no
src/main/java/org/cswteams/ms3/control/logout/ILogoutController.java,56a16915,6d5f1271,java,no
src/main/java/org/cswteams/ms3/control/logout/JwtBlacklistService.java,28660e09,6d5f1271,java,no
src/main/java/org/cswteams/ms3/control/logout/LogoutController.java,56a16915,6d5f1271,java,no
src/main/java/org/cswteams/ms3/control/passwordChange/PasswordChange.java,893bd5c8,893bd5c8,java,no
src/main/java/org/cswteams/ms3/control/scheduleFeedback/IScheduleFeedbackController.java,a8bb72ca,b610882e,java,no
src/main/java/org/cswteams/ms3/control/scheduleFeedback/ScheduleFeedbackController.java,a8bb72ca,b610882e,java,no
src/main/java/org/cswteams/ms3/control/scheduler/ConstraintCheckResult.java,86f3cc07,a11c8af5,java,yes
src/main/java/org/cswteams/ms3/control/scheduler/ConstraintEnforcementMode.java,f871b986,924c3544,java,yes
src/main/java/org/cswteams/ms3/control/scheduler/ConstraintViolationSeverity.java,86f3cc07,a11c8af5,java,yes
src/main/java/org/cswteams/ms3/control/scheduler/ISchedulerController.java,f871b986,924c3544,java,yes
src/main/java/org/cswteams/ms3/control/scheduler/ScheduleBuilder.java,65f3a76b,8a7c49d8,java,no
src/main/java/org/cswteams/ms3/control/scheduler/SchedulerController.java,65f3a76b,924c3544,java,no
src/main/java/org/cswteams/ms3/control/utils/RispostaViolazioneVincoli.java,86f3cc07,a11c8af5,java,yes
src/main/java/org/cswteams/ms3/dao/BlacklistedTokenDAO.java,28660e09,a0401773,java,no
src/main/java/org/cswteams/ms3/dao/ScheduleFeedbackDAO.java,a8bb72ca,a8bb72ca,java,no
src/main/java/org/cswteams/ms3/dao/SystemUserDAO.java,d8beeaa7,d8beeaa7,java,no
src/main/java/org/cswteams/ms3/dto/login/CustomUserDetails.java,74762acf,74762acf,java,no
src/main/java/org/cswteams/ms3/dto/login/LoginFailureDTO.java,d6a330b2,0e5c70b5,java,yes
src/main/java/org/cswteams/ms3/dto/login/LoginRequestDTO.java,d6a330b2,93aed615,java,no
src/main/java/org/cswteams/ms3/dto/login/LoginResponseDTO.java,93aed615,93aed615,java,no
src/main/java/org/cswteams/ms3/dto/logout/LogoutRequestDTO.java,56a16915,067285a4,java,yes
src/main/java/org/cswteams/ms3/dto/scheduleFeedback/ScheduleFeedbackDTO.java,a8bb72ca,a8bb72ca,java,no
src/main/java/org/cswteams/ms3/entity/BlacklistedToken.java,28660e09,6d5f1271,java,no
src/main/java/org/cswteams/ms3/entity/Schedule.java,b0d18584,b0d18584,java,no
